instant,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,humidity,windspeed,rentals
1,2011-01-01,1,0,1,0,0,6,0,1,10.5,81.0,0.0,16
2,2011-01-01,1,0,1,1,0,6,0,1,9.7,80.0,0.0,40
3,2011-01-01,1,0,1,2,0,6,0,1,9.7,80.0,0.0,32
4,2011-01-01,1,0,1,3,0,6,0,1,10.5,75.0,0.0,13
5,2011-01-01,1,0,1,4,0,6,0,1,10.5,75.0,0.0,1
6,2011-01-01,1,0,1,5,0,6,0,2,10.5,75.0,5.11,1
7,2011-01-01,1,0,1,6,0,6,0,1,9.7,80.0,0.0,2
8,2011-01-01,1,0,1,7,0,6,0,1,8.9,86.0,0.0,3
9,2011-01-01,1,0,1,8,0,6,0,1,10.5,75.0,0.0,8
10,2011-01-01,1,0,1,9,0,6,0,1,13.7,76.0,0.0,14
11,2011-01-01,1,0,1,10,0,6,0,1,16.1,76.0,14.46,36
12,2011-01-01,1,0,1,11,0,6,0,1,15.3,81.0,16.16,56
13,2011-01-01,1,0,1,12,0,6,0,1,17.7,77.0,16.16,84
14,2011-01-01,1,0,1,13,0,6,0,2,19.3,72.0,17.01,94
15,2011-01-01,1,0,1,14,0,6,0,2,19.3,72.0,16.16,106
16,2011-01-01,1,0,1,15,0,6,0,2,18.5,77.0,17.01,110
17,2011-01-01,1,0,1,16,0,6,0,2,17.7,82.0,17.01,93
18,2011-01-01,1,0,1,17,0,6,0,2,18.5,82.0,16.16,67
19,2011-01-01,1,0,1,18,0,6,0,3,17.7,88.0,14.46,35
20,2011-01-01,1,0,1,19,0,6,0,3,17.7,88.0,14.46,37
21,2011-01-01,1,0,1,20,0,6,0,2,16.9,87.0,14.46,36
22,2011-01-01,1,0,1,21,0,6,0,2,16.9,87.0,11.06,34
23,2011-01-01,1,0,1,22,0,6,0,2,16.9,94.0,12.76,28
24,2011-01-01,1,0,1,23,0,6,0,2,19.3,88.0,17.01,39
25,2011-01-02,1,0,1,0,0,0,0,2,19.3,88.0,17.01,17
26,2011-01-02,1,0,1,1,0,0,0,2,18.5,94.0,14.46,17
27,2011-01-02,1,0,1,2,0,0,0,2,17.7,100.0,16.16,9
28,2011-01-02,1,0,1,3,0,0,0,2,19.3,94.0,11.06,6
29,2011-01-02,1,0,1,4,0,0,0,2,19.3,94.0,11.06,3
30,2011-01-02,1,0,1,6,0,0,0,3,17.7,77.0,17.01,2
31,2011-01-02,1,0,1,7,0,0,0,2,16.9,76.0,11.06,1
32,2011-01-02,1,0,1,8,0,0,0,3,16.9,71.0,12.76,8
33,2011-01-02,1,0,1,9,0,0,0,2,16.1,76.0,12.76,20
34,2011-01-02,1,0,1,10,0,0,0,2,15.3,81.0,12.76,53
35,2011-01-02,1,0,1,11,0,0,0,2,15.3,71.0,14.46,70
36,2011-01-02,1,0,1,12,0,0,0,2,15.3,66.0,17.01,93
37,2011-01-02,1,0,1,13,0,0,0,2,15.3,66.0,7.65,75
38,2011-01-02,1,0,1,14,0,0,0,3,15.3,76.0,11.06,59
39,2011-01-02,1,0,1,15,0,0,0,3,14.5,81.0,9.36,74
40,2011-01-02,1,0,1,16,0,0,0,3,14.5,71.0,9.36,76
41,2011-01-02,1,0,1,17,0,0,0,1,14.5,56.99999999999999,11.06,65
42,2011-01-02,1,0,1,18,0,0,0,2,15.3,46.0,18.72,53
43,2011-01-02,1,0,1,19,0,0,0,1,13.7,42.0,25.52,30
44,2011-01-02,1,0,1,20,0,0,0,1,12.9,39.0,20.42,22
45,2011-01-02,1,0,1,21,0,0,0,1,11.3,44.0,18.72,31
46,2011-01-02,1,0,1,22,0,0,0,1,10.5,44.0,17.01,9
47,2011-01-02,1,0,1,23,0,0,0,1,9.7,47.0,9.36,8
48,2011-01-03,1,0,1,0,0,1,1,1,9.7,44.0,20.42,5
49,2011-01-03,1,0,1,1,0,1,1,1,8.9,44.0,23.82,2
50,2011-01-03,1,0,1,4,0,1,1,1,7.2,47.0,22.12,1
51,2011-01-03,1,0,1,5,0,1,1,1,7.2,47.0,16.16,3
52,2011-01-03,1,0,1,6,0,1,1,1,6.4,50.0,22.12,30
53,2011-01-03,1,0,1,7,0,1,1,1,6.4,50.0,11.06,64
54,2011-01-03,1,0,1,8,0,1,1,1,6.4,50.0,16.16,154
55,2011-01-03,1,0,1,9,0,1,1,1,7.2,43.0,22.12,88
56,2011-01-03,1,0,1,10,0,1,1,1,8.1,43.0,14.46,44
57,2011-01-03,1,0,1,11,0,1,1,1,8.9,40.0,18.72,51
58,2011-01-03,1,0,1,12,0,1,1,1,9.7,35.0,17.01,61
59,2011-01-03,1,0,1,13,0,1,1,1,10.5,35.0,16.16,61
60,2011-01-03,1,0,1,14,0,1,1,1,11.3,30.0,16.16,77
61,2011-01-03,1,0,1,15,0,1,1,1,11.3,30.0,14.46,72
62,2011-01-03,1,0,1,16,0,1,1,1,11.3,30.0,14.46,76
63,2011-01-03,1,0,1,17,0,1,1,1,10.5,30.0,12.76,157
64,2011-01-03,1,0,1,18,0,1,1,1,10.5,32.0,5.96,157
65,2011-01-03,1,0,1,19,0,1,1,1,8.9,47.0,0.0,110
66,2011-01-03,1,0,1,20,0,1,1,1,8.9,47.0,5.96,52
67,2011-01-03,1,0,1,21,0,1,1,1,8.1,64.0,7.65,52
68,2011-01-03,1,0,1,22,0,1,1,1,6.4,69.0,7.65,20
69,2011-01-03,1,0,1,23,0,1,1,1,8.1,55.00000000000001,5.96,12
70,2011-01-04,1,0,1,0,0,2,1,1,7.2,55.00000000000001,5.96,5
71,2011-01-04,1,0,1,1,0,2,1,1,7.2,59.0,5.96,2
72,2011-01-04,1,0,1,2,0,2,1,1,6.4,63.0,7.65,1
73,2011-01-04,1,0,1,4,0,2,1,1,6.4,63.0,5.11,2
74,2011-01-04,1,0,1,5,0,2,1,1,5.6,68.0,5.96,4
75,2011-01-04,1,0,1,6,0,2,1,1,5.6,74.0,5.96,36
76,2011-01-04,1,0,1,7,0,2,1,1,5.6,74.0,7.65,94
77,2011-01-04,1,0,1,8,0,2,1,1,6.4,69.0,9.36,179
78,2011-01-04,1,0,1,9,0,2,1,1,7.2,64.0,12.76,100
79,2011-01-04,1,0,1,10,0,2,1,2,7.2,69.0,18.72,42
80,2011-01-04,1,0,1,11,0,2,1,1,9.7,51.0,17.01,57
81,2011-01-04,1,0,1,12,0,2,1,1,9.7,51.0,9.36,78
82,2011-01-04,1,0,1,13,0,2,1,1,10.5,56.00000000000001,11.06,97
83,2011-01-04,1,0,1,14,0,2,1,1,11.3,52.0,12.76,63
84,2011-01-04,1,0,1,15,0,2,1,1,12.1,52.0,14.46,65
85,2011-01-04,1,0,1,16,0,2,1,1,12.9,49.0,14.46,83
86,2011-01-04,1,0,1,17,0,2,1,1,12.1,48.0,12.76,212
87,2011-01-04,1,0,1,18,0,2,1,1,11.3,48.0,11.06,182
88,2011-01-04,1,0,1,19,0,2,1,1,10.5,48.0,5.96,112
89,2011-01-04,1,0,1,20,0,2,1,1,10.5,48.0,5.96,54
90,2011-01-04,1,0,1,21,0,2,1,1,9.7,64.0,0.0,48
91,2011-01-04,1,0,1,22,0,2,1,1,9.7,64.0,5.11,35
92,2011-01-04,1,0,1,23,0,2,1,1,8.9,69.0,5.11,11
93,2011-01-05,1,0,1,0,0,3,1,1,8.9,64.0,0.0,6
94,2011-01-05,1,0,1,1,0,3,1,1,7.2,74.0,5.11,6
95,2011-01-05,1,0,1,2,0,3,1,1,7.2,74.0,5.11,2
96,2011-01-05,1,0,1,4,0,3,1,1,10.5,48.0,12.76,2
97,2011-01-05,1,0,1,5,0,3,1,1,9.7,47.0,9.36,3
98,2011-01-05,1,0,1,6,0,3,1,1,8.9,47.0,12.76,33
99,2011-01-05,1,0,1,7,0,3,1,1,8.1,43.0,11.06,88
100,2011-01-05,1,0,1,8,0,3,1,1,8.9,40.0,17.01,195
101,2011-01-05,1,0,1,9,0,3,1,1,9.7,37.0,18.72,115
102,2011-01-05,1,0,1,10,0,3,1,1,9.7,37.0,18.72,57
103,2011-01-05,1,0,1,11,0,3,1,1,11.3,33.0,18.72,46
104,2011-01-05,1,0,1,12,0,3,1,1,11.3,33.0,18.72,79
105,2011-01-05,1,0,1,13,0,3,1,1,12.1,30.0,17.01,71
106,2011-01-05,1,0,1,14,0,3,1,1,12.9,28.000000000000004,11.06,62
107,2011-01-05,1,0,1,15,0,3,1,1,12.9,28.000000000000004,11.06,62
108,2011-01-05,1,0,1,16,0,3,1,1,12.9,28.000000000000004,5.11,89
109,2011-01-05,1,0,1,17,0,3,1,1,10.5,38.0,11.06,190
110,2011-01-05,1,0,1,18,0,3,1,1,10.5,38.0,7.65,169
111,2011-01-05,1,0,1,19,0,3,1,1,10.5,38.0,5.96,132
112,2011-01-05,1,0,1,20,0,3,1,1,9.7,47.0,9.36,89
113,2011-01-05,1,0,1,21,0,3,1,1,8.9,51.0,11.06,43
114,2011-01-05,1,0,1,22,0,3,1,1,8.1,55.00000000000001,7.65,42
115,2011-01-05,1,0,1,23,0,3,1,1,8.9,47.0,0.0,19
116,2011-01-06,1,0,1,0,0,4,1,1,8.1,55.00000000000001,0.0,11
117,2011-01-06,1,0,1,1,0,4,1,1,7.2,64.0,0.0,4
118,2011-01-06,1,0,1,2,0,4,1,1,7.2,64.0,0.0,2
119,2011-01-06,1,0,1,4,0,4,1,2,7.2,64.0,5.11,1
120,2011-01-06,1,0,1,5,0,4,1,2,6.4,69.0,5.11,4
121,2011-01-06,1,0,1,6,0,4,1,2,6.4,63.0,5.96,36
122,2011-01-06,1,0,1,7,0,4,1,2,7.2,59.0,0.0,95
123,2011-01-06,1,0,1,8,0,4,1,1,7.2,59.0,0.0,219
124,2011-01-06,1,0,1,9,0,4,1,2,8.1,51.0,0.0,122
125,2011-01-06,1,0,1,10,0,4,1,1,8.9,47.0,0.0,45
126,2011-01-06,1,0,1,11,0,4,1,1,9.7,44.0,5.11,59
127,2011-01-06,1,0,1,12,0,4,1,1,11.3,35.0,0.0,84
128,2011-01-06,1,0,1,13,0,4,1,1,11.3,35.0,5.96,67
129,2011-01-06,1,0,1,14,0,4,1,1,12.1,36.0,9.36,70
130,2011-01-06,1,0,1,15,0,4,1,1,12.1,36.0,0.0,62
131,2011-01-06,1,0,1,16,0,4,1,1,11.3,38.0,9.36,86
132,2011-01-06,1,0,1,17,0,4,1,1,9.7,51.0,9.36,172
133,2011-01-06,1,0,1,18,0,4,1,1,9.7,51.0,7.65,163
134,2011-01-06,1,0,1,19,0,4,1,1,9.7,55.00000000000001,5.11,112
135,2011-01-06,1,0,1,20,0,4,1,1,8.9,51.0,9.36,69
136,2011-01-06,1,0,1,21,0,4,1,2,9.7,55.00000000000001,12.76,48
137,2011-01-06,1,0,1,22,0,4,1,2,9.7,51.0,16.16,52
138,2011-01-06,1,0,1,23,0,4,1,2,8.9,59.0,11.06,23
139,2011-01-07,1,0,1,0,0,5,1,2,8.9,64.0,11.06,17
140,2011-01-07,1,0,1,1,0,5,1,2,8.9,69.0,12.76,7
141,2011-01-07,1,0,1,2,0,5,1,2,8.9,69.0,12.76,1
142,2011-01-07,1,0,1,4,0,5,1,2,8.9,69.0,7.65,1
143,2011-01-07,1,0,1,5,0,5,1,3,9.7,55.00000000000001,0.0,5
144,2011-01-07,1,0,1,6,0,5,1,2,8.9,69.0,0.0,34
145,2011-01-07,1,0,1,7,0,5,1,1,8.9,69.0,7.65,84
146,2011-01-07,1,0,1,8,0,5,1,1,8.9,51.0,14.46,210
147,2011-01-07,1,0,1,9,0,5,1,1,8.9,47.0,17.01,134
148,2011-01-07,1,0,1,10,0,5,1,1,9.7,37.0,18.72,63
149,2011-01-07,1,0,1,11,0,5,1,2,8.9,40.0,12.76,67
150,2011-01-07,1,0,1,12,0,5,1,2,8.9,37.0,14.46,59
151,2011-01-07,1,0,1,13,0,5,1,2,8.9,37.0,16.16,73
152,2011-01-07,1,0,1,14,0,5,1,2,8.9,40.0,14.46,50
153,2011-01-07,1,0,1,15,0,5,1,2,8.9,37.0,9.36,72
154,2011-01-07,1,0,1,16,0,5,1,2,8.9,37.0,9.36,87
155,2011-01-07,1,0,1,17,0,5,1,2,8.9,37.0,0.0,187
156,2011-01-07,1,0,1,18,0,5,1,1,8.9,40.0,5.11,123
157,2011-01-07,1,0,1,19,0,5,1,1,7.2,55.00000000000001,5.11,95
158,2011-01-07,1,0,1,20,0,5,1,1,8.1,47.0,5.96,51
159,2011-01-07,1,0,1,21,0,5,1,1,8.1,47.0,7.65,39
160,2011-01-07,1,0,1,22,0,5,1,2,8.1,43.0,9.36,36
